state,total_violent_crime,household_income
PA,8518,86050
WY,173,57004
IA,2293,51475
MO,49,35938
ID,145,44432
OK,387,35170
TX,16044,74155
TX,1336,47543
WI,3278,58318
MS,1560,30987
VA,514,29848
IA,823,50513
MI,60,41189
OK,531,48989
IN,776,47165
FL,1543,55315
MN,1881,47058
WI,2298,48090
IA,136,54076
VA,1681,60795
WV,127,35769
UT,1013,83336
NJ,8105,74524
MI,1298,52939
MO,83,35483
IA,323,46467
IL,179,63027
MI,74,34620
VA,429,38648
MI,114,37586
MT,78,47181
OR,11344,64180
MN,160,49434
TX,7,71607
WA,62,37571
WI,583,49021
WA,2139,51354
GA,801,42549
TX,3,33750
GA,392,36073
PA,1071,40384
GA,330,42651
MI,224,34685
FL,66,39681
MI,831,52186
KS,83,38346
MS,933,28599
PA,5912,50736
TX,72,42125
VT,1023,50221
ID,1467,46503
MI,265,38874
GA,121,32424
MT,25,38182
WV,299,33784
OK,85,36192
KS,38,43482
TX,52,33006
GA,535,30571
MI,439,45362
NE,98,47325
IA,134,42025
TX,997,53013
GA,180,31234
PA,713,42389
TX,431,33119
TX,138,40375
MI,565,40023
MO,234,47118
FL,2498,57703
SD,55,48911
NH,983,54463
IL,13755,77469
IA,169,44838
NJ,8807,78446
ID,21,42433
MO,206,40236
GA,3200,61837
TX,1093,43601
IN,403,40235
KS,173,44032
ID,903,41735
KS,254,54546
KS,12343,74717
MS,395,38362
GA,1343,53179
IN,1937,39747
VA,383,46150
MT,7,41932
MN,316,45633
VA,966,64423
TX,11,51411
OR,789,42542
ID,827,47941
KS,514,48890
TX,6844,67603
MN,390,45000
MO,304,41392
TX,18613,82762
IA,268,54723
WA,499,40567
TX,491,44429
IA,198,58008
WI,1071,46963
VA,7673,98071
MO,300,47876
PA,548,41262
VT,5053,63989
WI,290,41924
WI,1023,57922
TX,962,56005
PA,1325,46963
OR,919,54968
OK,49,39900
IN,551,49329
ID,389,42039
MI,423,45949
VA,761,37239
TX,220,41732
KY,503,36590
NM,359,37734
MO,261,37964
TX,141,32963
KY,578,41137
IA,1191,73847
GA,565,48630
VT,722,45395
WY,92,42019
TX,969,39586
ME,4890,57348
OR,2740,48389
MS,78,29876
TX,9212,71803
VA,137,39697
TX,3731,61952
PA,215,41547
WV,261,36046
IA,2180,50516
IL,240,50817
MN,664,52200
ID,61,34122
VA,2480,97110
ID,115,44212
MS,477,39899
WA,1628,58455
MN,1164,56836
FL,1078,48493
MO,504,39519
KS,78,54694
IA,110,50583
NE,9,43500
KY,1041,40891
OR,872,43765
ME,3447,44921
OR,282,49940
MO,1467,47223
KY,153,33582
GA,939,39306
KS,55,39529
SD,88,40102
TX,128,41728
MI,688,40359
TX,199,46139
KY,617,36048
PA,2729,52637
ID,171,40134
VT,513,41953
KY,1039,26228
KY,3448,67225
TX,224,45651
MN,478,41617
WI,2006,52140
GA,210,36570
OK,107,40970
VA,469,31308
KY,551,38394
KY,783,57580
TX,108,56452
MO,7327,71077
IL,572,48977
MN,9812,70380
TX,924,40450
IA,348,49342
NH,1462,55155
IN,65,48711
KS,35,41129
MI,1000,44346
ID,159,37349
WI,1671,48881
OK,85,34867
TX,234,31712
FL,134,32780
MO,142,37716
TX,328,40571
GA,213,40111
VA,4658,103208
MN,1427,59915
MN,1245,52410
OR,3367,40524
IN,303,40680
TX,126,50923
MS,220,31090
WI,806,48893
OK,46,53885
ME,648,37236
OK,136,43260
KY,333,40830
TX,517,44231
KY,225,45629
ME,7807,57461
TX,38,34295
MI,1079,47892
MN,939,53016
SD,699,43273
MI,221,37189
MS,342,36073
IN,189,42524
TX,213,34555
MT,152,32881
PA,913,43597
WI,131,38658
VA,493,48616
WI,1144,50551
MO,104,42979
KS,97,37925
MI,1008,60466
MO,50,40204
VA,255,71227
VT,1675,57281
TN,2578,89779
NH,2988,65353
WV,53,37635
WI,653,65130
KY,948,57298
MT,50,41277
WY,1498,79488
TX,1155,55754
NE,524,46078
PA,881,41977
KS,105,47122
ME,721,41626
IN,666,46148
PA,568,48231
WV,176,36199
KS,4,47454
KY,1129,39677
TX,395,35849
PA,1611,44807
VA,521,37436
MD,1831,95477
UT,172,40492
MO,78,42747
MI,545,50929
IL,460,61720
GA,103,24382
OR,2251,54535
IA,100,43449
VA,7416,72088
VA,493,42906
ME,1694,38642
IN,161,48047
WI,315,44944
WY,63,52589
GA,121,30023
MI,552,40204
TX,36,50357
MO,90,36676
OK,58,46488
VA,1449,82073
PA,1153,59340
RI,3927,62279
TX,218,49528
IL,1857,81765
TX,859,43649
VA,453,57218
PA,212,48461
PA,775,42184
IL,395,45145
IL,871,52940
TX,166,49340
KY,542,43907
MN,121,50507
KS,122,47445
WI,1531,53454
WI,2433,53363
VA,1973,45543
NH,1829,54912
MI,1053,53076
MO,378,40116
VA,533,54518
MO,411,36641
ME,609,50181
PA,939,49313
KY,611,29769
VA,1308,41897
KY,179,44588
GA,173,36788
OK,45,47344
VA,337,34864
OK,52,44811
WY,96,77900
NE,423,47069
IA,123,50476
OR,210,56725
WV,78,41368
WV,79,31613
KY,1598,34092
VA,202,77597
TX,121,44902
ID,371,43266
WY,11,38438
NH,6204,77348
OK,852,33819
SD,19,47679
GA,60,38425
OR,3899,46939
VA,948,52027
VA,933,47162
WY,982,42774
WI,2038,54020
GA,531,75004
MN,9746,73732
WV,186,37969
OK,181,49905
VA,782,49625
KY,1542,54836
MS,133,30821
WA,612,39830
MN,431,53904
GA,163,36173
IN,225,40126
MN,682,44683
IN,402,42023
WV,903,65304
KY,611,38873
ID,128,44520
MN,255,48208
OR,44,42639
KY,2206,48687
MS,80,31061
WA,127,53712
MN,332,53657
VA,17,47806
IA,180,44281
WA,348,41694
KY,468,40933
IA,1754,44795
IN,892,45709
