total_violent_crime,household_income,"County,State"
1288,41940,"Cass,IN"
5280,50496,"Clark,IN"
282,46430,"Clay,IN"
1157,48953,"Clinton,IN"
128,39700,"Crawford,IN"
776,47165,"Daviess,IN"
601,56946,"Dearborn,IN"
161,48047,"Decatur,IN"
4126,37474,"Delaware,IN"
292,54780,"Dubois,IN"
6058,45693,"Elkhart,IN"
9,37391,"Fayette,IN"
2984,53961,"Floyd,IN"
51,45884,"Fountain,IN"
231,49516,"Franklin,IN"
138,40168,"Fulton,IN"
551,49329,"Gibson,IN"
1937,39747,"Grant,IN"
414,43980,"Greene,IN"
3096,82468,"Hamilton,IN"
816,62981,"Hancock,IN"
520,50510,"Harrison,IN"
1921,68297,"Hendricks,IN"
1909,40679,"Henry,IN"
2585,43590,"Howard,IN"
666,46148,"Huntington,IN"
2007,46501,"Jackson,IN"
294,57500,"Jasper,IN"
403,40235,"Jay,IN"
22,43795,"Jefferson,IN"
855,44128,"Jennings,IN"
4012,61231,"Johnson,IN"
977,42119,"Knox,IN"
1356,50859,"Kosciusko,IN"
20490,49035,"Lake,IN"
1072,42627,"Lawrence,IN"
4451,43120,"Madison,IN"
59476,42334,"Marion,IN"
892,45709,"Marshall,IN"
117,44740,"Martin,IN"
402,42023,"Miami,IN"
5237,40052,"Monroe,IN"
1051,46797,"Montgomery,IN"
1395,55354,"Morgan,IN"
218,50262,"Newton,IN"
675,47117,"Noble,IN"
4,50377,"Ohio,IN"
102,38826,"Orange,IN"
12,43950,"Owen,IN"
48,43870,"Parke,IN"
191,47596,"Perry,IN"
303,40680,"Pike,IN"
3311,62794,"Porter,IN"
441,58750,"Posey,IN"
213,44764,"Pulaski,IN"
242,50821,"Putnam,IN"
483,40904,"Randolph,IN"
459,47537,"Ripley,IN"
505,47401,"Rush,IN"
1122,42898,"Scott,IN"
1164,51440,"Shelby,IN"
23,52991,"Spencer,IN"
9994,44582,"St. Joseph,IN"
225,40126,"Starke,IN"
1030,48080,"Steuben,IN"
344,43510,"Sullivan,IN"
9,44143,"Switzerland,IN"
5593,44246,"Tippecanoe,IN"
292,52686,"Tipton,IN"
1,44161,"Union,IN"
6735,43540,"Vanderburgh,IN"
189,42524,"Vermillion,IN"
5563,40692,"Vigo,IN"
149,45286,"Wabash,IN"
5,52317,"Warren,IN"
1105,62351,"Warrick,IN"
83,41986,"Washington,IN"
2257,38350,"Wayne,IN"
598,48136,"Wells,IN"
322,51444,"White,IN"
215,51914,"Whitley,IN"
432,40554,"Allen,KS"
225,41713,"Anderson,KS"
543,45212,"Atchison,KS"
112,45920,"Barber,KS"
1130,44981,"Barton,KS"
554,39591,"Bourbon,KS"
221,39968,"Brown,KS"
1924,56454,"Butler,KS"
57,36815,"Chase,KS"
55,39529,"Chautauqua,KS"
724,39746,"Cherokee,KS"
39,37875,"Cheyenne,KS"
35,41129,"Clark,KS"
173,45233,"Clay,KS"
352,38534,"Cloud,KS"
109,51793,"Coffey,KS"
13,39375,"Comanche,KS"
1304,41878,"Cowley,KS"
1928,37378,"Crawford,KS"
55,39333,"Decatur,KS"
514,48890,"Dickinson,KS"
142,46512,"Doniphan,KS"
5054,49508,"Douglas,KS"
32,46551,"Edwards,KS"
35,34089,"Elk,KS"
922,43085,"Ellis,KS"
111,45865,"Ellsworth,KS"
1180,47945,"Finney,KS"
1348,51178,"Ford,KS"
647,49543,"Franklin,KS"
901,46908,"Geary,KS"
23,44866,"Gove,KS"
38,47500,"Graham,KS"
137,53213,"Grant,KS"
59,57808,"Gray,KS"
5,52847,"Greeley,KS"
83,38346,"Greenwood,KS"
24,43357,"Hamilton,KS"
127,38313,"Harper,KS"
1070,50287,"Harvey,KS"
68,52415,"Haskell,KS"
26,52375,"Hodgeman,KS"
254,54546,"Jackson,KS"
507,56875,"Jefferson,KS"
0,39884,"Jewell,KS"
12343,74717,"Johnson,KS"
75,52264,"Kearny,KS"
140,47466,"Kingman,KS"
35,44650,"Kiowa,KS"
701,40916,"Labette,KS"
19,53021,"Lane,KS"
2102,63435,"Leavenworth,KS"
41,40811,"Lincoln,KS"
186,45519,"Linn,KS"
33,41765,"Logan,KS"
1023,38981,"Lyon,KS"
104,45830,"Marion,KS"
173,44032,"Marshall,KS"
63,51000,"Meade,KS"
759,58936,"Miami,KS"
83,46667,"Mitchell,KS"
1440,39669,"Montgomery,KS"
122,47445,"Morris,KS"
45,46607,"Morton,KS"
105,47122,"Nemaha,KS"
656,42071,"Neosho,KS"
34,48800,"Ness,KS"
77,46029,"Norton,KS"
322,50205,"Osage,KS"
97,37925,"Osborne,KS"
111,58396,"Ottawa,KS"
171,44078,"Pawnee,KS"
35,43059,"Phillips,KS"
418,56854,"Pottawatomie,KS"
326,46035,"Pratt,KS"
38,43482,"Rawlins,KS"
3276,43798,"Reno,KS"
58,39572,"Republic,KS"
118,45336,"Rice,KS"
1701,43962,"Riley,KS"
41,42449,"Rooks,KS"
63,42610,"Rush,KS"
164,37111,"Russell,KS"
2726,47215,"Saline,KS"
96,50605,"Scott,KS"
26949,49865,"Sedgwick,KS"
685,50185,"Seward,KS"
8894,48451,"Shawnee,KS"
31,48674,"Sheridan,KS"
135,38634,"Sherman,KS"
7,45556,"Smith,KS"
78,43292,"Stafford,KS"
3,46382,"Stanton,KS"
15,54494,"Stevens,KS"
712,47894,"Sumner,KS"
193,48187,"Thomas,KS"
42,45714,"Trego,KS"
78,54694,"Wabaunsee,KS"
4,47454,"Wallace,KS"
11,42515,"Washington,KS"
35,53018,"Wichita,KS"
253,38917,"Wilson,KS"
73,33839,"Woodson,KS"
9201,39402,"Wyandotte,KS"
121,32524,"Adair,KY"
174,40008,"Allen,KY"
180,52646,"Anderson,KY"
179,44588,"Ballard,KY"
611,38873,"Barren,KY"
23,30797,"Bath,KY"
1039,26228,"Bell,KY"
3448,67225,"Boone,KY"
468,40933,"Bourbon,KY"
1691,40379,"Boyd,KY"
774,41473,"Boyle,KY"
156,39196,"Bracken,KY"
59,24045,"Breathitt,KY"
87,38907,"Breckinridge,KY"
1542,54836,"Bullitt,KY"
126,35430,"Butler,KY"
291,37127,"Caldwell,KY"
1129,39677,"Calloway,KY"
