county,state,total_violent_crime,household_income
Lucas,IA,263,43288
Cabell,WV,5032,38374
Seminole,FL,11644,58175
Aiken,SC,7083,44509
Crawford,KS,1928,37378
Ashland,WI,557,38550
Appanoose,IA,435,39208
Manassas City,VA,1049,71036
Matagorda,TX,1209,43096
Indiana,PA,1653,43997
Montgomery,IL,608,41952
Minnehaha,SD,5375,52345
Lamar,GA,560,41016
Gordon,GA,1702,40926
Blaine,ID,271,64042
Nacogdoches,TX,2074,36777
Webster,WV,88,27645
Union,TN,762,34399
Tama,IA,191,51670
Citrus,FL,3304,39100
Lake,FL,8334,45035
Wood,WV,2913,42287
Lake,TN,117,27115
Wilson,TN,2983,60390
Valley,ID,236,50473
Pierce,GA,435,39067
Stillwater,MT,153,57906
Salt Lake,UT,49600,60555
Howell,MO,1585,32533
Shelby,TX,662,37081
Logan,KS,33,41765
Putnam,WV,1026,54854
Ripley,MO,520,32291
Dodge,GA,1013,37292
Waynesboro City,VA,819,44847
San Augustine,TX,157,28390
Beaver,PA,4366,49217
Pasco,FL,14805,43888
Lowndes,GA,3727,37365
Lee,TX,382,51534
Suffolk City,VA,2568,66085
Doniphan,KS,142,46512
Ford,IL,233,48866
Edgar,IL,313,42133
Franklin,MA,1479,53663
Jackson,OR,8569,44005
Sarasota,FL,12283,49052
Hidalgo,TX,33273,34146
Lee,GA,724,60104
Jackson,MI,3713,46615
Troup,GA,2985,41161
Pawnee,KS,171,44078
Marshall,SD,55,46597
Danville City,VA,2102,30786
Chariton,MO,108,39385
Ozark,MO,170,32078
Harmon,OK,102,26688
Cherokee,SC,1197,34202
Polk,IA,16665,59018
Quay,NM,306,30802
St. Joseph,MI,1358,44051
Adair,OK,409,32556
Henry,TN,1108,36950
Garfield,WA,61,51548
Marion,TN,631,41268
Vanderburgh,IN,6735,43540
Hardy,WV,140,32723
Kankakee,IL,3339,50102
Indian River,FL,4222,44772
Somerset,MD,579,38447
Bates,MO,545,38579
Mahnomen,MN,131,40282
Stephens,OK,1671,43885
Wayne,IL,342,43605
Stewart,TN,213,39781
Jefferson,GA,394,26968
Kearny,KS,75,52264
Panola,TX,766,52453
Pecos,TX,380,47019
Woodbury,IA,4093,45856
Cowlitz,WA,4213,47596
Lafayette,FL,95,39722
Sheridan,NE,109,38548
Clearfield,PA,2088,41030
Jackson,TN,269,33386
Washington,MS,3313,28093
Adams,IL,1781,45073
Iron,UT,1249,42369
St. Louis,MO,29934,58910
Cass,TX,808,35598
Jefferson,TN,1587,39745
Tyler,TX,351,39940
Tippecanoe,IN,5593,44246
Bay,MI,2453,45376
Kauai,HI,2813,62052
Knox,IL,1555,40667
Jack,TX,180,49038
Carroll,GA,3813,46147
Midland,TX,4108,62993
Greene,GA,500,42565
Carbon,UT,932,44724
Walton,GA,2960,52369
Polk,TN,416,39074
Sullivan,PA,117,40964
Banks,GA,621,41141
Maverick,TX,1715,31395
Scott,KS,96,50605
Mitchell,KS,83,46667
Jackson,MS,5318,48943
Lyon,NV,1287,46137
Buena Vista,IA,386,46951
Wakulla,FL,783,52691
Ochiltree,TX,193,49964
Wayne,IN,2257,38350
Mineral,WV,518,31163
Boone,IA,443,51826
Kootenai,ID,5005,49002
Hernando,FL,5150,41024
Marion,IL,1410,41010
Macon,TN,299,35306
Sumner,TN,3637,55509
Overton,TN,369,34604
Washtenaw,MI,9647,59055
Mille Lacs,MN,919,47862
Lake,OR,47,33611
Colorado,TX,458,45146
Grant,WA,3911,45949
Dooly,GA,210,29012
Scott,MS,445,34534
Davison,SD,511,48341
Perry,TN,131,32845
Glades,FL,233,34694
Jasper,IL,135,52233
Claiborne,MS,278,23689
Missoula,MT,3987,46117
Mitchell,GA,630,32054
Macomb,MI,20857,53451
Terry,TX,264,37679
Carbon,MT,155,47831
Camp,TX,379,37079
Lake,MI,308,29379
Deer Lodge,MT,211,38958
Custer,OK,596,44972
Franklin,TN,949,42904
Grant,KS,137,53213
Jasper,SC,895,36413
Eureka,NV,35,64632
Clark,WI,379,43276
Jerome,ID,416,40126
Mills,IA,413,63076
Jefferson,MS,65,26028
Upshur,TX,1135,46600
Yellowstone,MT,6108,51342
Blaine,MT,46,37151
Crawford,MI,270,40295
Miller,GA,135,32260
Greene,IL,174,43502
Allen,IN,12111,49370
Richland,MT,262,58112
Warren,MO,917,50830
Hancock,TN,207,23892
Chippewa,MI,730,41637
Donley,TX,44,42411
Washington,IL,140,52832
Martinsville City,VA,461,28116
Lamb,TX,426,36727
Barber,KS,112,45920
Levy,FL,1071,34348
Toombs,GA,957,31189
Van Buren,MI,1860,45129
Humboldt,NV,248,59472
Pettis,MO,2100,38580
Mingo,WV,368,35955
St. Johns,FL,5204,64876
Luzerne,PA,8862,44402
Barry,MO,1480,38710
Broadwater,MT,62,45932
Washington,FL,471,38501
Yazoo,MS,592,26336
Scott,IN,1122,42898
Jasper,GA,233,42192
Harford,MD,4780,80622
Warren,IA,802,62535
Crook,OR,493,38795
Hall,NE,2731,48712
Butts,GA,624,49754
Brown,WI,5555,53119
Grand,UT,329,45888
Houston,TN,139,35271
Catron,NM,84,39826
Mayes,OK,771,42751
Pocahontas,WV,96,33779
Luce,MI,89,39469
Benewah,ID,104,39049
Mason,MI,1006,41136
Hardee,FL,812,37125
Jackson,OK,829,42824
Franklin,KS,647,49543
Douglas,GA,4532,52691
Washington,OK,1546,48687
Montour,PA,315,51482
Tom Green,TX,4165,44545
Coles,IL,836,37040
Meriwether,GA,707,37333
Decatur,KS,55,39333
Garfield,OK,2258,44530
Twin Falls,ID,1818,43886
Choctaw,OK,294,30201
Josephine,OR,3143,37733
Clallam,WA,2510,46033
Malheur,OR,1124,35578
Goshen,WY,251,43257
Taylor,GA,141,27455
Cherokee,KS,724,39746
Warren,PA,859,43764
Highlands,FL,2747,35560
Telfair,GA,278,26634
Monongalia,WV,2341,44173
Hill,TX,965,40769
Fayette,WV,1363,33771
Flathead,MT,2743,46581
Marshall,OK,175,37319
Kitsap,WA,8866,62413
St. Francois,MO,2115,37238
Preston,WV,408,45413
Woodward,OK,618,51867
Comal,TX,3120,65839
Otero,NM,1388,39263
White,IL,382,42914
Galveston,TX,9925,61877
Mason,WA,2751,48755
Essex,VA,268,44885
Howard,IN,2585,43590
Salem,NJ,1712,59718
Osage,OK,1186,44195
Ottawa,OK,919,36473
Cape May,NJ,4673,56494
Marshall,MS,440,36022
Phelps,MO,1530,41964
Wayne,WV,1110,36964
Warrick,IN,1105,62351
Monroe,MI,4308,53972
Wright,MO,445,28645
Cobb,GA,18660,63920
Whitfield,GA,3308,40471
Carbon,PA,1520,48900
St. Clair,MO,261,31539
Chambers,TX,1084,72489
Worth,GA,670,35792
Delta,MI,1177,42676
Linn,KS,186,45519
Martin,FL,3631,49846
Barbour,WV,190,37327
Hartley,TX,113,65750
Delaware,IN,4126,37474
Sequoyah,OK,989,35742
Lumpkin,GA,539,43775
Callaway,MO,1428,47964
Starr,TX,1180,24927
Butte,SD,197,41332
Madison,IN,4451,43120
Le Flore,OK,1149,36542
Harrison,WV,1692,43183
Page,IA,405,43010
Bennett,SD,31,37607
Sandoval,NM,2816,58017
Wexford,MI,829,40965
Shoshone,ID,282,38440
Wayne,TN,194,33198
Garvin,OK,762,38245
Polk,MN,678,50695
Lehigh,PA,10583,54923
Monroe,IN,5237,40052
Chase,KS,57,36815
St. Clair,MI,3756,48066
Cherry,NE,57,45464
Christian,KY,2388,38904
Cameron,TX,17907,33179
Washington,MD,3498,55609
Clinton,IN,1157,48953
Silver Bow,MT,1373,38659
Union,FL,194,42660
Macon,MO,397,38443
Flagler,FL,2205,47233
Logan,IL,641,47133
Smith,TN,441,42383
Frederick,MD,4639,84570
Maui,HI,6487,63512
Candler,GA,228,35070
Kalkaska,MI,532,40140
Snyder,PA,763,46513
Sumner,KS,712,47894
Grayson,TX,4086,46429
Blair,PA,2455,42992
Franklin,WA,2193,55177
Lincoln,NM,589,43014
Lowndes,MS,1809,37868
Johnson,TX,4131,57535
Newton,MO,2174,42268
Uintah,UT,761,62067
Franklin,MS,83,32372
Fergus,MT,170,38344
Benton,TN,379,33033
Hampton City,VA,5159,50705
Marion,WV,684,42152
Fentress,TN,522,29192
Clay,SD,335,38173
Heard,GA,193,39909
Bedford,PA,746,43290
Kanabec,MN,400,47068
Newaygo,MI,1118,42571
Scott,TN,617,28401
Ogemaw,MI,501,34619
York,PA,9825,58745
Roane,TN,1595,42223
Park,MT,247,42426
Woodson,KS,73,33839
Chester,TN,328,41875
Racine,WI,5800,54090
Erie,PA,8082,45202
Osage,KS,322,50205
Codington,SD,661,47214
Carbon,WY,374,55347
Fort Bend,TX,12619,85297
Ray,MO,671,52698
Mercer,IL,249,53136
Washington,GA,569,33652
Marshall,WV,891,40681
Park,WY,557,53951
Aransas,TX,921,42476
Adams,MS,1308,27381
Crawford,IL,297,46216
Pittsburg,OK,1628,41252
Screven,GA,398,34848
San Jacinto,TX,787,46107
Johnson,GA,202,36722
Marion,MO,1438,42046
Haskell,OK,188,35334
Wagoner,OK,1655,55723
Mackinac,MI,489,38704
Carson City,NV,1243,51957
Collier,FL,6376,55843
Maries,MO,151,42566
Moore,TX,561,51181
Jackson,IN,2007,46501
St. Louis,MN,6610,46517
Allen,KS,432,40554
Hillsborough,NH,10142,69829
Holmes,FL,298,35511
Florence,WI,118,47960
Hampshire,MA,3569,61227
Johnson,IA,3254,53424
Berkeley,WV,3245,53515
Lincoln,SD,1195,74751
Blue Earth,MN,2332,49935
Linn,MO,290,38250
Pike,MS,1193,34841
Pottawatomie,KS,418,56854
Pawnee,OK,233,44375
Charlotte,FL,3913,44378
Haskell,KS,68,52415
Douglas,IL,256,52741
Hawkins,TN,1702,37357
Beltrami,MN,1899,43231
Osceola,MI,475,37788
Elmore,ID,387,42842
Esmeralda,NV,10,30284
Palo Pinto,TX,1082,41670
Riley,KS,1701,43962
Edwards,IL,75,39075
Freestone,TX,408,44502
Lyon,IA,114,52152
Hickman,TN,485,39581
Rock,WI,5177,49435
Tooele,UT,1848,61412
Carroll,TN,636,35049
Yankton,SD,616,52578
Beadle,SD,501,42196
Lawrence,IN,1072,42627
Converse,WY,408,63918
Honolulu,HI,31991,72764
Neosho,KS,656,42071
Manistee,MI,420,41551
Laramie,WY,2959,55864
Baker,FL,361,49236
Cascade,MT,3329,44963
Johnson,IL,163,40760
Blaine,OK,212,44206
Lane,OR,14505,42931
Tazewell,IL,2908,56067
Marion,OR,11515,46885
Polk,OR,2336,52808
Bannock,ID,2382,43534
Sheridan,KS,31,48674
Itasca,MN,948,46912
Talbot,MD,967,61597
Payette,ID,483,43649
Murray,GA,958,34888
Kane,UT,126,48540
Walla Walla,WA,2259,46597
Van Buren,TN,122,33547
Golden Valley,MT,5,39313
Windham,VT,1148,50234
Lane,KS,19,53021
Colonial Heights City,VA,1027,50835
Henry,IA,367,46376
Loudon,TN,1251,51074
Lackawanna,PA,5105,46044
Jones,TX,506,41297
Johnson,IN,4012,61231
Mower,MN,1001,46004
Graham,KS,38,47500
Deschutes,OR,5064,50209
Cooke,TX,1066,50067
Lincoln,MT,295,33333
Fayette,PA,3564,39115
Morgan,IL,616,46809
Garrett,MD,613,45206
Adams,WA,802,43926
Dade,GA,291,43205
Eastland,TX,444,34914
Vigo,IN,5563,40692
Sherman,KS,135,38634
